"","date","City","ntrips","per_subscriber","per_male","median_age","weekends","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"80",2017-01-27,"Chicago",4376,0.98491773308958,0.816270566727605,36,0,14.76,0,0,0,28,31,24
"81",2017-01-27,"NY",32394,0.979039328270667,0.766870408100266,38,0,8.95,0,0,0,NA,43,36
"82",2017-01-28,"Boston",478,0.951882845188284,0.755230125523013,28,1,15.21,0,0,NA,37,40,32
"83",2017-01-28,"Chicago",2214,0.94579945799458,0.72583559168925,32,1,11.63,0,0,0,27,29,24
"84",2017-01-28,"NY",21302,0.948502488029293,0.698525960003756,35,1,7.83,0,0,0,NA,39,34
"85",2017-01-29,"Boston",518,0.913127413127413,0.731660231660232,29,1,11.41,0,0,NA,36,43,30
"86",2017-01-29,"Chicago",1623,0.947011706715958,0.726432532347505,32,1,10.51,0,0.1,0,27,28,21
"87",2017-01-29,"NY",22527,0.93043902872109,0.686021218981666,35,1,5.82,0,0,0,NA,43,35
"88",2017-01-30,"Boston",763,0.959370904325033,0.761467889908257,31,0,9.84,0,0,NA,33,36,24
"89",2017-01-30,"Chicago",4486,0.97748551047704,0.794025858225591,35,0,10.07,0.01,0.1,0,22,37,15
"90",2017-01-30,"NY",29616,0.980652350081037,0.766410048622366,38,0,6.26,0,0,0,NA,37,30
"91",2017-01-31,"Boston",597,0.984924623115578,0.775544388609715,31,0,7.38,0.06,0.6,NA,25,28,20
"92",2017-01-31,"Chicago",5076,0.987391646966115,0.802009456264775,35,0,15.66,0.03,0,0,36,39,35
"93",2017-01-31,"NY",25169,0.989590369104851,0.782311573761373,38,0,4.03,0.06,1,0,NA,34,26
"94",2017-02-01,"Boston",690,0.98695652173913,0.77536231884058,31,0,10.07,0.05,0.8,NA,32,43,27
"95",2017-02-01,"Chicago",5361,0.987129266927812,0.798545047565753,35,0,12.3,0,0,0,35,38,21
"96",2017-02-01,"NY",35221,0.982680787030465,0.764771017290821,38,0,5.82,0,0,0,NA,47,33
"97",2017-02-02,"Boston",775,0.979354838709677,0.76258064516129,32,0,13.42,0,0,NA,36,40,29
"98",2017-02-02,"Chicago",4251,0.986120912726417,0.812749941190308,36,0,13.42,0,0,0,21,24,14
"99",2017-02-02,"NY",34517,0.978677173566648,0.75985746154069,38,0,5.37,0,0,0,NA,45,32
"100",2017-02-03,"Boston",723,0.987551867219917,0.784232365145228,31,0,11.63,0,0,NA,30,33,25
"101",2017-02-03,"Chicago",4031,0.982386504589432,0.823865045894319,36,0,10.51,0,0,0,19,28,14
"102",2017-02-03,"NY",29632,0.977963012958963,0.759719222462203,38,0,6.71,0,0,0,NA,33,26
"103",2017-02-04,"Boston",427,0.946135831381733,0.744730679156909,29,1,13.2,0,0,NA,27,33,21
"104",2017-02-04,"Chicago",2103,0.945791726105564,0.741321921065145,31,1,12.53,0,0,0,22,33,10
"105",2017-02-04,"NY",19204,0.944542803582587,0.700114559466778,36,1,8.5,0,0,0,NA,34,22
"106",2017-02-05,"Boston",416,0.949519230769231,0.721153846153846,28,1,13.42,0,0,NA,32,44,26
"107",2017-02-05,"Chicago",2817,0.883209087681931,0.651757188498403,31,1,8.72,0,0,0,33,38,24
"108",2017-02-05,"NY",20059,0.951842065905579,0.702427837878259,35,1,7.16,0,0,0,NA,43,31
"109",2017-02-06,"Boston",771,0.990920881971466,0.775616083009079,31,0,14.09,0,0,NA,36,39,32
"110",2017-02-06,"Chicago",6063,0.967177964703942,0.763318489196767,35,0,6.93,0,0,0,33,55,21
"111",2017-02-06,"NY",33415,0.970641927278168,0.751488852311836,38,0,5.14,0,0,0,NA,49,36
"112",2017-02-07,"Boston",409,0.987775061124694,0.806845965770171,31,0,16.55,0.44,1.2,NA,35,38,33
"113",2017-02-07,"Chicago",4736,0.98120777027027,0.803420608108108,35,0,10.51,0.47,0,0,44,50,32
"114",2017-02-07,"NY",23053,0.99119420465883,0.772177156986076,37,0,6.71,0.27,0,0,NA,42,36
"115",2017-02-08,"Boston",807,0.962825278810409,0.754646840148699,30,0,9.17,0.02,0,NA,37,52,25
"116",2017-02-08,"Chicago",5043,0.982550069403133,0.798334324806663,36,0,11.18,0,0,0,31,32,19
"117",2017-02-08,"NY",40428,0.966607301869991,0.737780746017612,38,0,4.7,0.03,0,0,NA,62,38
