School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
Osseo Senior High,55369,,9,Public,37.7,62.3,48.2,37.6,60,22.6,87.7,"1,918",96,21.2,78.8,0,78.8
Owatonna Alternative Learning Center 9-12,55060,,9,Alternative ,66.5,33.5,64.2,,10,9.1,41.9,76,6,31,53.1,15.9,69
Owatonna Senior High,55060,,9,Public,77.1,22.9,31,58.9,52.4,46.9,92.1,"1,468",75,22.3,77.7,0,77.7
Park Rapids Senior High,56470,,9,Public,83.1,16.9,39.5,46.3,46.5,47.8,83.3,425,27,26.4,73.6,0,73.6
Park Senior High,55016,,9,Public,69.8,30.2,28.2,43.6,60.5,63,94.5,"1,781",96,25.7,74.3,0,74.3
Paynesville Area High School,56362,,9,Public,92.4,7.6,32,40,63.2,58.8,98.3,274,19,53.4,46.6,0,46.6
Pequot Lakes Senior High,56472,,9,Public,96.3,3.7,19.9,53.2,70.2,66.4,94.8,510,32,43.8,55.2,0,55.2
Perham Senior High,56573,,9,Public,87.2,12.8,26.7,33.9,61.8,65.7,87,439,27,62.4,28.2,2.2,30.4
Phoenix Learning Center,55313,,9,Alternative ,82.6,17.4,60.9,18.2,,,66.7,21,2,66.6,33.4,0,33.4
Pillager Senior High School,56473,,9,Public,93.3,6.7,37,42.2,78.6,66.7,83.3,266,15,49,51,0,51
Pine Island Secondary,55963,,9,Public,94.5,5.5,9.8,67.7,71.9,72.4,91.9,380,24,22.1,77.6,0,77.6
Pine River-Backus Area Learning Center,56474,,9,Alternative ,91.8,8.2,38.8,19,,,27.3,56,4,42.6,57.5,0,57.5
Pipestone Senior High,56164,,9,Public,82,18,35.8,39.5,50.8,46.2,91.1,325,22,60.1,39.9,0,39.9
Plainview-Elgin-Millville High,55964,,9,Public,90.4,9.6,8.5,46.3,40.9,45.5,97.2,457,26,69.2,30.8,0,30.8
Plymouth Youth Center,55411,,9,Alternative ,1.4,98.6,89.8,2.6,3.1,4.2,14.3,176,12,0,8.2,0,8.2
Princeton Senior High,55371,,9,Public,91.6,8.4,24.7,33.6,60.9,59.1,91.1,992,53,54.4,45.6,0,45.6
Prior Lake High School,55378,,9,Public,83.8,16.2,9.6,74.2,74.2,67.5,95.5,"2,562",113,32,68,0,68
Prior Lake-Savage Area Alternative Learning Center,55372,,9,Alternative ,66.3,33.7,34.7,8,26.3,23.8,52.8,90,6,48.4,51.6,0,51.6
Proctor Senior High,55810,,9,Public,93.1,6.9,22.9,50,44.8,38.3,89.9,543,27,38.4,61.7,0,61.7
Red Lake Alternative Learning,56671,,9,Alternative ,0,100,60.6,,,0,17.1,,,100,0,0,0
Redwood Valley Senior High,56283,,9,Public,74.3,25.7,38.1,39.7,50,44.8,89.9,348,25,46,54,0,54
Richfield Senior High,55423,,9,Public,29,71,63.3,27.8,48.2,42.1,81.2,"1,113",63,27.3,66.4,6.3,72.7
Robbinsdale Armstrong Senior High,55441,,9,Public,55,45,36.3,35.5,61.7,53,86.6,"2,002",95,48.5,50.4,0,50.4
Robbinsdale Cooper Senior High,55428,,9,Public,27.5,72.5,63.7,24.5,42.4,28.7,81.2,"1,623",93,56.5,43.5,0,43.5
Rockford Secondary,55373,,9,Public,86.7,13.3,16.9,56,67.3,50.5,91.8,460,27,32.5,67.5,0,67.5
Rocori Senior High,56320,,9,Public,88.5,11.5,20,60.9,83,76.1,95.2,781,41,45.4,54.1,0,54.1
Rogers Senior High,55374,,9,Public,89.1,10.9,12.6,66.3,68.8,67.2,96.1,"1,481",53,39.3,60.7,0,60.7
Roosevelt Senior High,55406,,9,Public,21.8,78.2,64.8,13,14,12.6,69.4,910,67,56.8,38.8,1.5,40.3
Rosemount Area Learning Center,55124,,9,Alternative ,45.8,54.2,45.8,0,11.8,0,34.4,132,9,21.2,78.8,0,78.8
Rosemount Senior High,55068,,9,Public,76.5,23.5,14.7,64.2,72.3,77,91,"2,148",106,18.6,78.7,0.9,79.6
